file_path,error_reason
/home/hemduttdabral/Downloads/proj-api-volume-dump/1eba313e-ec6c-43e8-b935-d2cc5a42a76f/workspace/projects/Project_name_680805/ai_Project_name_680805.json,"{'application': '08e3bcee-9b06-4bb1-8aa6-4c407a70e4a1', 'firmware_update': False} is not valid under any of the given schemas"
/home/hemduttdabral/Downloads/proj-api-volume-dump/c7cd1951-91fc-485d-9c91-3d686f348c6e/workspace/projects/Project_name_631875/ai_Project_name_631875.json,"{'application': 'baa44b5c-5c17-4a77-bbb4-15be9cbd9947', 'firmware_update': False} is not valid under any of the given schemas"
/home/hemduttdabral/Downloads/proj-api-volume-dump/c7cd1951-91fc-485d-9c91-3d686f348c6e/workspace/projects/Project_name_66927/ai_Project_name_66927.json,"{'application': '4f93ef3d-1fae-4370-b37c-54f8a031b980', 'firmware_update': False} is not valid under any of the given schemas"
/home/hemduttdabral/Downloads/proj-api-volume-dump/c7cd1951-91fc-485d-9c91-3d686f348c6e/workspace/projects/Project_name_425723/ai_Project_name_425723.json,"{'application': '04c7caa6-bd71-4dac-b80f-56b0b4bbb1b1', 'firmware_update': False} is not valid under any of the given schemas"
/home/hemduttdabral/Downloads/proj-api-volume-dump/c7cd1951-91fc-485d-9c91-3d686f348c6e/workspace/projects/Project_name_74938/ai_Project_name_74938.json,"{'application': 'a36577e5-f226-40f2-b62a-ac1ffe5a2775', 'firmware_update': False} is not valid under any of the given schemas"
/home/hemduttdabral/Downloads/proj-api-volume-dump/c7cd1951-91fc-485d-9c91-3d686f348c6e/workspace/projects/Project_name_592199/ai_Project_name_592199.json,"{'application': '2299340e-ad44-4def-8187-fe09a5647528', 'firmware_update': False} is not valid under any of the given schemas"
/home/hemduttdabral/Downloads/proj-api-volume-dump/c6d47862-d41c-41e8-8283-def31a41e2f3/workspace/projects/Project_name_845337/ai_Project_name_845337.json,"{'application': 'fd11821c-a5c2-47a6-ac12-33dd4b38d489', 'firmware_update': False} is not valid under any of the given schemas"
/home/hemduttdabral/Downloads/proj-api-volume-dump/1b47e638-837d-41b1-b456-86410736d7c1/workspace/projects/Project_name_896012/ai_Project_name_896012.json,"{'application': 'f706cadd-8fcf-45c5-8ca6-7dd72e027083', 'firmware_update': False} is not valid under any of the given schemas"
/home/hemduttdabral/Downloads/proj-api-volume-dump/1b47e638-837d-41b1-b456-86410736d7c1/workspace/projects/Project_name_815909/ai_Project_name_815909.json,"{'application': 'b3df063e-d4e6-458b-8d8f-a43fb06099ff', 'firmware_update': False} is not valid under any of the given schemas"
/home/hemduttdabral/Downloads/proj-api-volume-dump/9cc02481-8d1d-4826-8320-93f6c5c5b03c/workspace/projects/gesture/ai_gesture.json,"{'application': '84514e8f-9dea-40d7-86f1-9b4737e7ae6e', 'firmware_update': False} is not valid under any of the given schemas"
/home/hemduttdabral/Downloads/proj-api-volume-dump/9cc02481-8d1d-4826-8320-93f6c5c5b03c/workspace/projects/tracking/ai_tracking.json,"{'application': '2ef2abe6-7997-4b18-900d-df36389b39dd', 'firmware_update': False} is not valid under any of the given schemas"
/home/hemduttdabral/Downloads/proj-api-volume-dump/9cc02481-8d1d-4826-8320-93f6c5c5b03c/workspace/projects/human/ai_human.json,"{'application': '33eb6dcd-5395-4d0c-8e2c-76ac1550533a', 'firmware_update': False} is not valid under any of the given schemas"
/home/hemduttdabral/Downloads/proj-api-volume-dump/9cc02481-8d1d-4826-8320-93f6c5c5b03c/workspace/projects/new_project/ai_new_project.json,None is not of type 'string'
/home/hemduttdabral/Downloads/proj-api-volume-dump/9cc02481-8d1d-4826-8320-93f6c5c5b03c/workspace/projects/new_project/ai_new_project.json,None is not of type 'string'
/home/hemduttdabral/Downloads/proj-api-volume-dump/9cc02481-8d1d-4826-8320-93f6c5c5b03c/workspace/projects/drilling/ai_drilling.json,"{'application': '579bd2b2-636e-4847-b60d-4534626a15c7', 'firmware_update': False} is not valid under any of the given schemas"
/home/hemduttdabral/Downloads/proj-api-volume-dump/9cc02481-8d1d-4826-8320-93f6c5c5b03c/workspace/projects/drilling/ai_drilling.json,"{'application': '0c1fa453-8d23-49a1-b423-363442d94a16', 'firmware_update': False} is not valid under any of the given schemas"
/home/hemduttdabral/Downloads/proj-api-volume-dump/9cc02481-8d1d-4826-8320-93f6c5c5b03c/workspace/projects/fan/ai_fan.json,"{'application': 'b1aa5ab4-3ac7-4aef-96ab-b844314be607', 'firmware_update': False} is not valid under any of the given schemas"
/home/hemduttdabral/Downloads/proj-api-volume-dump/9cc02481-8d1d-4826-8320-93f6c5c5b03c/workspace/projects/fan/ai_fan.json,"{'application': 'e07d3675-12ef-4d07-9803-accab5083967', 'firmware_update': False} is not valid under any of the given schemas"
/home/hemduttdabral/Downloads/proj-api-volume-dump/9cc02481-8d1d-4826-8320-93f6c5c5b03c/workspace/projects/head/ai_head.json,"{'application': '586d2be4-2c8e-4d59-80eb-ac4b31312d81', 'firmware_update': False} is not valid under any of the given schemas"
/home/hemduttdabral/Downloads/proj-api-volume-dump/26a9d3b9-5454-402d-ae7f-0b632bf4d26e/workspace/mvp_0.4_upload_data_test/ai_mvp_0.4_upload_data_test.json,None is not of type 'string'
/home/hemduttdabral/Downloads/proj-api-volume-dump/26a9d3b9-5454-402d-ae7f-0b632bf4d26e/workspace/projects/lsm6dsv80x-test-project/ai_lsm6dsv80x-test-project.json,None is not of type 'string'
/home/hemduttdabral/Downloads/proj-api-volume-dump/26a9d3b9-5454-402d-ae7f-0b632bf4d26e/workspace/projects/lsm6dsv80x-test-project/ai_lsm6dsv80x-test-project.json,None is not of type 'string'
/home/hemduttdabral/Downloads/proj-api-volume-dump/26a9d3b9-5454-402d-ae7f-0b632bf4d26e/workspace/projects/RobkitProject/ai_RobkitProject.json,None is not of type 'string'
/home/hemduttdabral/Downloads/proj-api-volume-dump/26a9d3b9-5454-402d-ae7f-0b632bf4d26e/workspace/projects/RobkitProject/ai_RobkitProject.json,None is not of type 'string'
